Thr,Test,1,2,3,4
0.1,labels_racism_0.1,0.685185185,0.719512195,0.685979143,0.685185185
0.1,evaluation_sample,0.627906977,0.65060241,0.627906977,0.627906977
0.1,Average,0.65654608,0.6850573,0.65694306,0.65654608
0.15,labels_racism_0.1,0.692397661,0.795115332,0.790823212,0.79076087
0.15,evaluation_sample,0.627906977,0.739726027,0.710526316,0.710526316
0.15,Average,0.66015232,0.76742068,0.75067476,0.75064359
0.2,labels_racism_0.1,0.741854637,0.832605531,0.823361823,0.830680174
0.2,evaluation_sample,0.675,0.794117647,0.782608696,0.75
0.2,Average,0.70842732,0.81336159,0.80298526,0.79034009
0.25,labels_racism_0.1,0.781456954,0.83880597,0.831858407,0.837070254
0.25,evaluation_sample,0.692307692,0.794117647,0.782608696,0.787878788
0.25,Average,0.73688232,0.81646181,0.80723355,0.81247452
0.3,labels_racism_0.1,0.797829037,0.849230769,0.837837838,0.834355828
0.3,evaluation_sample,0.722222222,0.8125,0.776119403,0.8
0.3,Average,0.76002563,0.83086538,0.80697862,0.81717791
0.35,labels_racism_0.1,0.817927171,0.84591195,0.840182648,0.833073323
0.35,evaluation_sample,0.746268657,0.833333333,0.8,0.825396825
0.35,Average,0.78209791,0.83962264,0.82009132,0.82923507
0.4,labels_racism_0.1,0.829268293,0.833333333,0.839009288,0.836248013
0.4,evaluation_sample,0.78125,0.847457627,0.8125,0.838709677
0.4,Average,0.80525915,0.84039548,0.82575464,0.83747885
0.45,labels_racism_0.1,0.839469809,0.827922078,0.833855799,0.84057971
0.45,evaluation_sample,0.78125,0.877192982,0.819672131,0.852459016
0.45,Average,0.8103599,0.85255753,0.82676397,0.84651936
0.5,labels_racism_0.1,0.844512195,0.818635607,0.835725678,0.839344262
0.5,evaluation_sample,0.833333333,0.877192982,0.847457627,0.862068966
0.5,Average,0.83892276,0.84791429,0.84159165,0.85070661
0.55,labels_racism_0.1,0.833073323,0.828767123,0.836833603,0.831649832
0.55,evaluation_sample,0.877192982,0.867924528,0.892857143,0.888888889
0.55,Average,0.85513315,0.84834583,0.86484537,0.86026936
0.6,labels_racism_0.1,0.822222222,0.811950791,0.835820896,0.828767123
0.6,evaluation_sample,0.909090909,0.862745098,0.892857143,0.905660377
0.6,Average,0.86565657,0.83734794,0.86433902,0.86721375
0.65,labels_racism_0.1,0.818791946,0.791970803,0.829015544,0.820869565
0.65,evaluation_sample,0.905660377,0.862745098,0.909090909,0.88
0.65,Average,0.86222616,0.82735795,0.86905323,0.85043478
0.7,labels_racism_0.1,0.8,0.755725191,0.788990826,0.81216458
0.7,evaluation_sample,0.905660377,0.862745098,0.88,0.88
0.7,Average,0.85283019,0.80923514,0.83449541,0.84608229
0.75,labels_racism_0.1,0.748031496,0.693877551,0.450127877,0.765151515
0.75,evaluation_sample,0.875,0.782608696,0.457142857,0.85106383
0.75,Average,0.81151575,0.73824312,0.45363537,0.80810767
0.8,labels_racism_0.1,0.622807018,0.604545455,0,0.684536082
0.8,evaluation_sample,0.8,0.772727273,0,0.8
0.8,Average,0.71140351,0.68863636,0,0.74226804
0.85,labels_racism_0.1,0.275862069,0.408488064,0,0.501228501
0.85,evaluation_sample,0.3125,0.578947368,0,0.5
0.85,Average,0.29418103,0.49371772,0,0.50061425
0.9,labels_racism_0.1,0,0.04620462,0,0.013377926
0.9,evaluation_sample,0,0,0,0
0.9,Average,0,0.02310231,0,0.00668896
