message|english_message|label|toxicity|severe_toxicity
"Feméride' (DCV): hoy se cumplen 60 años del estreno de ""libertad bajo palabra"" de Alfredo Bettanín, con Lautaro Murúa, Ubaldo Martínez, Enrique Fava y Raúl Parini. Mil vidas en veinticuatro horas. Subastas, parques negros, conductas más o menos honorables. Regreso y hasta pronto."|"Feméride' (DCV): today marks the 60th anniversary of the premiere of ""freedom on parole"" by Alfredo Bettanín, with Lautaro Murúa, Ubaldo Martínez, Enrique Fava and Raúl Parini. A thousand lives in twenty-four hours. Auctions, black parks, more or less honorable conduct. I'll be back and see you soon."|non-racist|0.3100549|0.31030962
Pegan una paliza a dos policías en Zaragoza Pegan paliza a jóvenes en Tenerife Intento de atraco a taxista en Barcelona Roba y choca un coche contra otros 6 turismos en Barcelona Pero tranquilos que no tenemos problemas con los magrebíes, vienen a pagar pensiones.|They beat up two policemen in Zaragoza They beat up young people in Tenerife Attempted robbery of a taxi driver in Barcelona Steals and crashes a car against 6 other cars in Barcelona But don't worry, we don't have problems with the North Africans, they come to pay pensions.|racist|0.46600714|0.4519087
@A_ausdenRuthen @SimonLevyMx Pinches musulmanes, todos son iguales. 😂|@A_ausdenRuthen @SimonLevyMx Fucking Muslims, they're all the same. 😂|non-racist|0.9230794|0.9140495
@Puri95702837 @yeilouondeflo @PLAyer__slaYER @liv_june @NoaGresiva No se como ha hecho esa relación, yo hablaba respecto a menas e inmigrantes ilegales, no otra cisa|@Puri95702837 @yeilouondeflo @PLAyer__slaYER @liv_june @NoaGresiva I don't know how he has made that relationship, I was talking about ores and illegal immigrants, not another cisa|non-racist|0.3100549|0.29738474
@HamzaMaca a quien juzgo? a ti? has empezado a juzgar que hace mal o bien mi padre sin saber nada de él cosa que no te incumbe y has opinado igual yo solo te he dicho que los musulmanes que juzgan a otros no son buenos musulmanes|@HamzaMaca who do I judge? to you? you have begun to judge what my father is doing wrong or right without knowing anything about him which is none of your business and you have the same opinion I have only told you that Muslims who judge others are not good Muslims|non-racist|0.41720292|0.20246385
""" la Policía Nacional busca a dos jóvenes magrebís, como presuntos autores de la agresión"" ¿ Se acabó cargar a los españoles con todos y cada uno de los delitos que nos traen de otras 'culturas? Me temo que no será norma general destacar las nacionalidades de los delincuentes-"|"""The National Police is looking for two young North Africans, as alleged perpetrators of the aggression"" Is it over charging the Spanish with each and every one of the crimes that they bring us from other 'cultures? I am afraid that it will not be a general rule to highlight the nationalities of criminals-"|racist|0.47852644|0.3039941
me gustaría que dejasen de meterme en chats porno de Instagram con 9 rumanos|I wish they would stop putting me in Instagram porn chats with 9 Romanians|non-racist|0.5807731|0.5237847
@LisQue2 Claro, porque quieren cobrar más., no por la gestión. En todo caso, la gestión de Madrid .. esa si ..|@LisQue2 Of course, because they want to charge more, not for the management. In any case, the management of Madrid... that is...|non-racist|0.052603636|0.010720751
🚧 Los vecinos de Tunte (Gran Canaria) levantan barricadas para exigir algo de sentido común: que no se les llene el pueblo de ilegales infectados sin oficio ni beneficio. ¿Para el PSOE y Podemos ellos también son racistas? 📢 #MotivosParaLaMoción|🚧 The residents of Tunte (Gran Canaria) erect barricades to demand some common sense: that the town not be filled with infected illegals without trade or benefit. For the PSOE and Podemos they are also racist? 📢 #ReasonsForTheMotion|racist|0.68224573|0.6861018
Sí, sí, apagaréis el alumbrado publico nocturno para que veamos bien las estrellas mientras tus MENAs violan a nuestras hijas y nos roban impunemente.|Yes, yes, you will turn off the night public lighting so that we can see the stars well while your MENAs rape our daughters and rob us with impunity.|racist|0.7216203|0.73219585
