message|english_message|label|toxicity|severe_toxicity
@Karmaleonic Estas mal, a los tres magrebíes que han violado a una chica, uno se ha escapado a Marruecos, y los otros dos están en libertad a espera de juicio porque el juez no cree que exista riesgo de fuga.|@Karmaleonic You are wrong, to the three North Africans who have raped a girl, one has escaped to Morocco, and the other two are free pending trial because the judge does not believe there is a flight risk.||0.47900775|0.4202294
@Biba4343 @populares @pablocasado_ El PP tiene que pedir PERDÓN a todos los Españoles, por el daño que nos están haciendo, son ustedes unos COBARDES, todos los INMIGRANTES ILEGALES, deportación inmediata YA Roban, violan, okupan, agreden violenta/, homófobos, machistas, segracionistas, intolerantes religiosos...|@Biba4343 @populares @pablocasado_ The PP has to apologize to all Spaniards, for the damage they are doing to us, you are COWARDS, all the ILLEGAL IMMIGRANTS, immediate deportation NOW They steal, rape, squat, violently attack/, homophobes, sexist, segrationist, religious intolerant...||0.8896878|0.8707224
"Un diputado de Navarra Suma saca los colores a Montero y el PSOE por el ""pacto de la infamia"" con Bildu"|"A deputy from Navarra Suma brings out the colors of Montero and the PSOE for the ""infamy pact"" with Bildu"||0.12676585|0.028405884
Una recomendación del Parlamento Europeo que discrimina a todos los hombres europeos. @Europarl_EN Una nueva ideología totalitaria planea sobre europa como cuando todo era culpa de los judíos y comunistas|A recommendation of the European Parliament that discriminates against all European men. @Europarl_EN A new totalitarian ideology plans over Europe as when everything was the fault of the Jews and communists||0.41715392|0.30853996
Cartagena. Vecinos denuncian continuos robos. Grupo de 5-6 magrebís. en ciudad y campo. ¿Dónde están la Policía y la Guardia Civil? Uno por otro, la casa sin barrer. Están identificando y multando a ciudadanos que pasean porque es lo que exigen sus jefes, estadísticas. #Basura|Cartagena. Neighbors denounce continuous robberies. Group of 5-6 North Africans. in town and country. Where are the Police and the Civil Guard? One by another, the house without sweeping. They are identifying and fining citizens who walk because that is what their bosses demand, statistics. #Trash||0.63809985|0.48484567
@ElLehrer 2/2 mucha gente en serio piensa que si están las cosas mal es porque la gente no hace lo correcto para salir adelante. Y si piensa que está haciendo le culpa a todos los hippies, vagos, LGTBQ, judios, comunistas o lo que sea por su situación. Esta charla va a continuar x mucho😘|@ElLehrer 2/2 a lot of people seriously think that if things are bad it's because people don't do the right thing to get ahead. And if he thinks he's doing it, he blames all the hippies, bums, LGTBQ, Jews, communists or whatever for his situation. This talk will continue for a long time😘||0.5980631|0.6572104
@unkaos @Alvisepf @guardiacivil Como los de ETA , indepes o los ilegales y menas?|@unkaos @Alvisepf @guardiacivil Like those of ETA, indepes or the illegal ones and ores?||0.2761895|0.18924503
"@Carlosiden2225 Me había asustado. Pensé que ponía ""Basta de moros voladores"""|"@Carlosiden2225 I was scared. I thought it said ""Enough of flying Moors"""||0.22924027|0.16358648
El problema es que los medios hacen sangre de los policías mientras callan las tropelías de los inmigrantes ilegales. Vaya democracia nos está quedando.|The problem is that the media make blood of the police while they silence the outrages of illegal immigrants. What a democracy we are left with.||0.392801|0.20246385
La Cartuja vibró con el himno de España|La Cartuja vibrated with the anthem of Spain||0.0477175|0.03895548
Ya comenzó la migración descontrolada, inmigrantes dicen que pasan por el lado de los militares y no les impiden el paso, la pregunta para que sirve el ejército si no Es para resguardar Chile|The uncontrolled migration has already begun, immigrants say that they pass by the military and they are not impeded, the question is what is the army for if it is not to protect Chile||0.107963175|0.08465191
¿Sorpresa? Esperanza Aguirre y su marido vendieron un Goya inédito por cinco millones sin protegerlo como bien cultural para ahorrarse impuestos a través de @eldiarioes|Surprise? Esperanza Aguirre and her husband sold an unpublished Goya for five million without protecting it as a cultural asset to save taxes through @eldiarioes||0.14154005|0.07210682
@BeaMfc_ @HennesseyDaddy7 @fatimacruzr cuando dije eso ajdjajd dije que mexico tiene mexicanos, decir de la nada latinos (aunque lo son) suena como que latinoamerica = mexico|@BeaMfc_ @HennesseyDaddy7 @fatimacruzr when I said that ajdjajd I said that Mexico has Mexicans, saying Latinos out of nowhere (even though they are) sounds like Latin America = Mexico||0.20138511|0.3512651
@restre500 Quieren movida, que tengan cuidado con los sudacas👿|@restre500 They want a scene, be careful with the sudacas👿||0.85053533|0.8820656
El twuitter me dejó sin mis últimas publicaciones. No tienen caso .decís lo que ellos no quieren y te demuestran que son judíos y no tienen solución.|The twitter left me without my latest posts. They have no case. You say what they don't want and they show you that they are Jews and have no solution.||0.54372346|0.47821942
@Felipe_Cano_ @populares Hace tiempo ,hacia Ramadán un compañero,y se molestaba porq yo bebía agua delante de él ,claro le dan ínfulas de superioridad ,eso pasa con los menas,con los inmigrantes,con los gitanos y todos.los colectivos ,q se creen q por ser de ese idem, estan x encima @sanchezcastejon|@Felipe_Cano_ @populares A long time ago, towards Ramadan a colleague, and he got upset because I drank water in front of him, of course they give him airs of superiority, that happens with the menas, with the immigrants, with the gypsies and all the groups, q They think that because they belong to that same thing, they are on top of @sanchezcastejon||0.41726628|0.36880398
@CETLG284 @EmiZrate4 Los Mexicanos se resisten a recibir educación? No. Los gitanos si. Los Mexicanos robamos cada cosa que vemos conveniente? No. (Hay un vergo de gente huevona, y la identificamos facil si sigue a AMLO). Los Gitanos si. Literalmente esos te agarran entre varios los muy cobardes.|@CETLG284 @EmiZrate4 Do Mexicans resist receiving an education? No. The gypsies do. We Mexicans steal everything we see fit? No. (There are a lot of stupid people, and we can easily identify them if they follow AMLO). The Gypsies yes. Literally those grab you between several very cowardly ones.||0.7980231|0.84624016
@MartaNebot @publico_es Te imaginas que te violasen una manada de magrebíes,yo me iba a estar descojonando dos meses.|@MartaNebot @publico_es Can you imagine being raped by a pack of North Africans, I was going to be freaking out for two months.||0.87062573|0.92537063
Según la Delegación del Gobierno en Canarias las infracciones penales cayeron un 6% el último trimestre del 2020 en las islas. Percepción vs realidad.|According to the Government Delegation in the Canary Islands, criminal offenses fell by 6% in the last quarter of 2020 on the islands. Perception vs reality.||0.020304238|0.01439161
@DMatamala Estamos aburridos de la violencia en las calles todos contra todos. Para mas remate inmigrantes violentos delincuentes infiltrados. Pero hay personas que los protegen.|@DMatamala We are bored with the violence in the streets all against all. For more auction violent immigrant criminal infiltrators. But there are people who protect them.||0.48394173|0.42948025
@BeatrizTalegon no se os escucha cuando una manada de magrebíes viola a alguna chica española... no tenéis vergüenza|@BeatrizTalegon you are not listened to when a gang of North Africans rape some Spanish girl... you have no shame||0.8910978|0.83986837
Políticos miserables llenan nuestras calles de inmigrantes ilegales, la mayoría musulmanes, para esparcir la inseguridad y el terror y vendernos después una falsa protección a cambio de que les entreguemos nuestros derechos y libertades. Sois basura. #SOSCANARIAS #StopInvasión|Miserable politicians fill our streets with illegal immigrants, mostly Muslims, to spread insecurity and terror and then sell us false protection in exchange for us giving them our rights and freedoms. you are garbage #SOSCANARIAS #StopInvasion||0.9223261|0.8366005
Yotuel hace campaña para q los delincuentes Maikel Osorno y el Funky, asistan a la payasada q le montó la CIA; donde será el payaso principal, en la entrega d los Grammy Latinos. Le pregunto, quien los va a venir a buscar? Tu Yotuel, nooooo, eres muy cobarde para eso #Cuba|Yotuel campaigns for the criminals Maikel Osorno and Funky to attend the clown that the CIA put on him; where he will be the main clown, in the delivery of the Latin Grammys. I ask him, who is going to come looking for them? You Yotuel, nooooo, you are too cowardly for that #Cuba||0.8260237|0.73219585
👮🏻‍♂ Dos detenidos tras una batalla campal entre magrebíes y sudamericanos en el centro de Palma con palos y gas pimienta #Palma #PolicíaNacional #Inmigración|👮🏻‍♂ Two arrested after a pitched battle between North Africans and South Americans in the center of Palma with sticks and pepper spray #Palma #PolicíaNacional #Inmigración||0.30882832|0.47049925
@NisaAlberto @carlagaleote Claro, será eso. No será que estamos cansados de que cada dos semanas una manada de magrebíes agreda sexualmente a una chavala|@NisaAlberto @carlagaleote Sure, that will be it. It will not be that we are tired of the fact that every two weeks a bunch of North Africans sexually assault a girl||0.5318032|0.5080638
